* Measurement data measured by REW V5.19
* Source: D:\Downloads\Floyd Toole Trained Listeners only.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 22, 2020 9:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Floyd Toole Trained Listeners only.csv Format: Comma/Tab/Space delimited data 406 values loaded, 20 Hz to 19,672 Hz
* Measurement: Floyd Toole Trained List
* Smoothing: None
* Frequency Step: 0.25000003 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.050 1.542 0
20.300 1.727 0
20.550 1.948 0
20.800 2.159 0
21.050 2.364 0
21.300 2.566 0
21.550 2.761 0
21.800 2.950 0
22.050 3.137 0
22.300 3.314 0
22.550 3.480 0
22.800 3.635 0
23.050 3.806 0
23.300 3.955 0
23.550 4.096 0
23.800 4.230 0
24.050 4.322 0
24.300 4.388 0
24.550 4.450 0
24.800 4.509 0
25.050 4.566 0
25.300 4.620 0
25.550 4.666 0
25.800 4.694 0
26.050 4.723 0
26.300 4.751 0
26.550 4.777 0
26.800 4.800 0
27.050 4.822 0
27.300 4.843 0
27.550 4.860 0
27.800 4.875 0
28.050 4.889 0
28.300 4.902 0
28.550 4.915 0
28.800 4.926 0
29.050 4.937 0
29.300 4.946 0
29.550 4.952 0
29.800 4.960 0
30.050 4.969 0
30.300 4.975 0
30.550 4.980 0
30.800 4.982 0
31.050 4.985 0
31.300 4.990 0
31.550 4.994 0
31.800 4.995 0
32.050 4.994 0
32.300 4.993 0
32.550 4.995 0
32.800 4.999 0
33.050 5.004 0
33.300 5.007 0
33.550 5.008 0
33.800 5.008 0
34.050 5.008 0
34.300 5.007 0
34.550 5.008 0
34.800 5.012 0
35.050 5.016 0
35.300 5.020 0
35.550 5.024 0
35.800 5.028 0
36.050 5.032 0
36.300 5.036 0
36.550 5.039 0
36.800 5.042 0
37.050 5.042 0
37.300 5.038 0
37.550 5.036 0
37.800 5.036 0
38.050 5.036 0
38.300 5.035 0
38.550 5.036 0
38.800 5.039 0
39.050 5.044 0
39.300 5.051 0
39.550 5.058 0
39.800 5.064 0
40.050 5.065 0
40.300 5.064 0
40.550 5.064 0
40.800 5.064 0
41.050 5.064 0
41.300 5.064 0
41.550 5.064 0
41.800 5.064 0
42.050 5.064 0
42.300 5.064 0
42.550 5.064 0
42.800 5.064 0
43.050 5.064 0
43.300 5.064 0
43.550 5.064 0
43.800 5.064 0
44.050 5.064 0
44.300 5.064 0
44.550 5.064 0
44.800 5.064 0
45.050 5.064 0
45.300 5.064 0
45.550 5.064 0
45.800 5.064 0
46.050 5.064 0
46.300 5.064 0
46.550 5.064 0
46.800 5.064 0
47.050 5.064 0
47.300 5.064 0
47.550 5.064 0
47.800 5.064 0
48.050 5.064 0
48.300 5.064 0
48.550 5.064 0
48.800 5.065 0
49.050 5.065 0
49.300 5.064 0
49.550 5.061 0
49.800 5.056 0
50.050 5.051 0
50.300 5.048 0
50.550 5.045 0
50.800 5.042 0
51.050 5.039 0
51.300 5.036 0
51.550 5.033 0
51.800 5.030 0
52.050 5.027 0
52.300 5.024 0
52.550 5.021 0
52.800 5.018 0
53.050 5.015 0
53.300 5.012 0
53.550 5.010 0
53.800 5.007 0
54.050 5.005 0
54.300 5.002 0
54.550 4.998 0
54.800 4.993 0
55.050 4.986 0
55.300 4.980 0
55.550 4.974 0
55.800 4.968 0
56.050 4.961 0
56.300 4.955 0
56.550 4.948 0
56.800 4.940 0
57.050 4.933 0
57.300 4.925 0
57.550 4.918 0
57.800 4.911 0
58.050 4.903 0
58.300 4.895 0
58.550 4.886 0
58.800 4.878 0
59.050 4.870 0
59.300 4.862 0
59.550 4.855 0
59.800 4.847 0
60.050 4.838 0
60.300 4.830 0
60.550 4.821 0
60.800 4.811 0
61.050 4.801 0
61.300 4.791 0
61.550 4.781 0
61.800 4.772 0
62.050 4.762 0
62.300 4.753 0
62.550 4.744 0
62.800 4.736 0
63.050 4.728 0
63.300 4.719 0
63.550 4.711 0
63.800 4.700 0
64.050 4.689 0
64.300 4.677 0
64.550 4.666 0
64.800 4.657 0
65.050 4.648 0
65.300 4.639 0
65.550 4.631 0
65.800 4.621 0
66.050 4.611 0
66.300 4.600 0
66.550 4.589 0
66.800 4.579 0
67.050 4.569 0
67.300 4.559 0
67.550 4.549 0
67.800 4.539 0
68.050 4.529 0
68.300 4.520 0
68.550 4.511 0
68.800 4.501 0
69.050 4.491 0
69.300 4.481 0
69.550 4.471 0
69.800 4.462 0
70.050 4.454 0
70.300 4.446 0
70.550 4.438 0
70.800 4.429 0
71.050 4.419 0
71.300 4.408 0
71.550 4.397 0
71.800 4.387 0
72.050 4.379 0
72.300 4.374 0
72.550 4.368 0
72.800 4.361 0
73.050 4.350 0
73.300 4.339 0
73.550 4.328 0
73.800 4.316 0
74.050 4.305 0
74.300 4.293 0
74.550 4.281 0
74.800 4.270 0
75.050 4.258 0
75.300 4.246 0
75.550 4.234 0
75.800 4.223 0
76.050 4.211 0
76.300 4.199 0
76.550 4.188 0
76.800 4.176 0
77.050 4.165 0
77.300 4.153 0
77.550 4.143 0
77.800 4.135 0
78.050 4.128 0
78.300 4.121 0
78.550 4.114 0
78.800 4.107 0
79.050 4.098 0
79.300 4.090 0
79.550 4.081 0
79.800 4.072 0
80.050 4.063 0
80.300 4.055 0
80.550 4.046 0
80.800 4.038 0
81.050 4.029 0
81.300 4.021 0
81.550 4.013 0
81.800 4.005 0
82.050 3.997 0
82.300 3.990 0
82.550 3.983 0
82.800 3.976 0
83.050 3.969 0
83.300 3.963 0
83.550 3.957 0
83.800 3.951 0
84.050 3.946 0
84.300 3.940 0
84.550 3.935 0
84.800 3.930 0
85.050 3.925 0
85.300 3.920 0
85.550 3.916 0
85.800 3.912 0
86.050 3.907 0
86.300 3.903 0
86.550 3.899 0
86.800 3.894 0
87.050 3.890 0
87.300 3.885 0
87.550 3.881 0
87.800 3.877 0
88.050 3.873 0
88.300 3.868 0
88.550 3.864 0
88.800 3.860 0
89.050 3.855 0
89.300 3.850 0
89.550 3.846 0
89.800 3.841 0
90.050 3.836 0
90.300 3.832 0
90.550 3.828 0
90.800 3.823 0
91.050 3.819 0
91.300 3.815 0
91.550 3.811 0
91.800 3.807 0
92.050 3.802 0
92.300 3.798 0
92.550 3.794 0
92.800 3.790 0
93.050 3.786 0
93.300 3.783 0
93.550 3.779 0
93.800 3.776 0
94.050 3.773 0
94.300 3.770 0
94.550 3.767 0
94.800 3.763 0
95.050 3.760 0
95.300 3.756 0
95.550 3.753 0
95.800 3.749 0
96.050 3.745 0
96.300 3.741 0
96.550 3.737 0
96.800 3.732 0
97.050 3.728 0
97.300 3.723 0
97.550 3.719 0
97.800 3.715 0
98.050 3.711 0
98.300 3.707 0
98.550 3.703 0
98.800 3.700 0
99.050 3.696 0
99.300 3.693 0
99.550 3.690 0
99.800 3.687 0
100.050 3.684 0
100.300 3.681 0
100.550 3.678 0
100.800 3.675 0
101.050 3.672 0
101.300 3.669 0
101.550 3.666 0
101.800 3.663 0
102.050 3.660 0
102.300 3.656 0
102.550 3.653 0
102.800 3.649 0
103.050 3.645 0
103.300 3.641 0
103.550 3.638 0
103.800 3.635 0
104.050 3.632 0
104.300 3.630 0
104.550 3.627 0
104.800 3.625 0
105.050 3.623 0
105.300 3.620 0
105.550 3.617 0
105.800 3.615 0
106.050 3.612 0
106.300 3.609 0
106.550 3.606 0
106.800 3.603 0
107.050 3.601 0
107.300 3.598 0
107.550 3.595 0
107.800 3.592 0
108.050 3.589 0
108.300 3.586 0
108.550 3.584 0
108.800 3.581 0
109.050 3.578 0
109.300 3.575 0
109.550 3.572 0
109.800 3.569 0
110.050 3.566 0
110.300 3.563 0
110.550 3.560 0
110.800 3.557 0
111.050 3.554 0
111.300 3.552 0
111.550 3.549 0
111.800 3.546 0
112.050 3.543 0
112.300 3.540 0
112.550 3.536 0
112.800 3.533 0
113.050 3.529 0
113.300 3.525 0
113.550 3.521 0
113.800 3.517 0
114.050 3.514 0
114.300 3.510 0
114.550 3.507 0
114.800 3.503 0
115.050 3.499 0
115.300 3.496 0
115.550 3.492 0
115.800 3.488 0
116.050 3.484 0
116.300 3.480 0
116.550 3.476 0
116.800 3.471 0
117.050 3.467 0
117.300 3.463 0
117.550 3.458 0
117.800 3.454 0
118.050 3.450 0
118.300 3.446 0
118.550 3.442 0
118.800 3.438 0
119.050 3.434 0
119.300 3.429 0
119.550 3.425 0
119.800 3.421 0
120.050 3.416 0
120.300 3.412 0
120.550 3.408 0
120.800 3.403 0
121.050 3.399 0
121.300 3.394 0
121.550 3.389 0
121.800 3.384 0
122.050 3.379 0
122.300 3.375 0
122.550 3.369 0
122.800 3.364 0
123.050 3.359 0
123.300 3.354 0
123.550 3.349 0
123.800 3.343 0
124.050 3.338 0
124.300 3.332 0
124.550 3.327 0
124.800 3.321 0
125.050 3.315 0
125.300 3.309 0
125.550 3.303 0
125.800 3.297 0
126.050 3.290 0
126.300 3.284 0
126.550 3.278 0
126.800 3.271 0
127.050 3.264 0
127.300 3.257 0
127.550 3.250 0
127.800 3.243 0
128.050 3.236 0
128.300 3.229 0
128.550 3.221 0
128.800 3.214 0
129.050 3.207 0
129.300 3.200 0
129.550 3.193 0
129.800 3.186 0
130.050 3.179 0
130.300 3.172 0
130.550 3.165 0
130.800 3.158 0
131.050 3.151 0
131.300 3.144 0
131.550 3.137 0
131.800 3.130 0
132.050 3.122 0
132.300 3.115 0
132.550 3.108 0
132.800 3.101 0
133.050 3.093 0
133.300 3.086 0
133.550 3.078 0
133.800 3.070 0
134.050 3.063 0
134.300 3.055 0
134.550 3.047 0
134.800 3.040 0
135.050 3.032 0
135.300 3.025 0
135.550 3.017 0
135.800 3.010 0
136.050 3.003 0
136.300 2.995 0
136.550 2.988 0
136.800 2.981 0
137.050 2.974 0
137.300 2.967 0
137.550 2.960 0
137.800 2.952 0
138.050 2.945 0
138.300 2.938 0
138.550 2.931 0
138.800 2.924 0
139.050 2.917 0
139.300 2.910 0
139.550 2.903 0
139.800 2.895 0
140.050 2.888 0
140.300 2.881 0
140.550 2.874 0
140.800 2.867 0
141.050 2.860 0
141.300 2.853 0
141.550 2.846 0
141.800 2.839 0
142.050 2.833 0
142.300 2.826 0
142.550 2.819 0
142.800 2.812 0
143.050 2.805 0
143.300 2.798 0
143.550 2.791 0
143.800 2.784 0
144.050 2.777 0
144.300 2.770 0
144.550 2.762 0
144.800 2.755 0
145.050 2.748 0
145.300 2.741 0
145.550 2.734 0
145.800 2.727 0
146.050 2.720 0
146.300 2.713 0
146.550 2.707 0
146.800 2.700 0
147.050 2.693 0
147.300 2.687 0
147.550 2.680 0
147.800 2.673 0
148.050 2.667 0
148.300 2.659 0
148.550 2.651 0
148.800 2.644 0
149.050 2.637 0
149.300 2.630 0
149.550 2.624 0
149.800 2.617 0
150.050 2.612 0
150.300 2.607 0
150.550 2.607 0
150.800 2.610 0
151.050 2.612 0
151.300 2.614 0
151.550 2.614 0
151.800 2.610 0
152.050 2.603 0
152.300 2.596 0
152.550 2.589 0
152.800 2.582 0
153.050 2.575 0
153.300 2.568 0
153.550 2.560 0
153.800 2.553 0
154.050 2.546 0
154.300 2.538 0
154.550 2.531 0
154.800 2.523 0
155.050 2.516 0
155.300 2.508 0
155.550 2.501 0
155.800 2.493 0
156.050 2.486 0
156.300 2.478 0
156.550 2.471 0
156.800 2.463 0
157.050 2.455 0
157.300 2.448 0
157.550 2.440 0
157.800 2.432 0
158.050 2.425 0
158.300 2.417 0
158.550 2.409 0
158.800 2.402 0
159.050 2.394 0
159.300 2.387 0
159.550 2.379 0
159.800 2.371 0
160.050 2.364 0
160.300 2.356 0
160.550 2.349 0
160.800 2.342 0
161.050 2.336 0
161.300 2.331 0
161.550 2.325 0
161.800 2.321 0
162.050 2.316 0
162.300 2.311 0
162.550 2.307 0
162.800 2.302 0
163.050 2.298 0
163.300 2.293 0
163.550 2.288 0
163.800 2.283 0
164.050 2.277 0
164.300 2.272 0
164.550 2.267 0
164.800 2.261 0
165.050 2.256 0
165.300 2.251 0
